2026-06-04 05:53:54 status unpacked linux-image-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 status half-configured linux-image-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 status installed linux-image-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 configure linux-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:54 status unpacked linux-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 status half-configured linux-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 status installed linux-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 trigproc man-db:amd64 2.13.1-1build1 <none>
2026-06-04 05:53:54 status half-configured man-db:amd64 2.13.1-1build1
2026-06-04 05:53:54 status installed man-db:amd64 2.13.1-1build1
2026-06-04 05:53:54 trigproc dracut:all 110-11 <none>
2026-06-04 05:53:54 status half-configured dracut:all 110-11
2026-06-04 05:53:54 status installed dracut:all 110-11
2026-06-04 05:53:54 trigproc linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:54 status half-configured linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:54:09 status installed linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:54:12 startup packages remove
2026-06-04 05:54:12 status installed libc-dev-bin:amd64 2.43-2ubuntu2
2026-06-04 05:54:12 remove libc-dev-bin:amd64 2.43-2ubuntu2 <none>
2026-06-04 05:54:12 status half-configured libc-dev-bin:amd64 2.43-2ubuntu2
2026-06-04 05:54:12 status half-installed libc-dev-bin:amd64 2.43-2ubuntu2
2026-06-04 05:54:12 status triggers-pending man-db:amd64 2.13.1-1build1
2026-06-04 05:54:12 status config-files libc-dev-bin:amd64 2.43-2ubuntu2
2026-06-04 05:54:12 status not-installed libc-dev-bin:amd64 <none>
2026-06-04 05:54:12 status installed manpages-dev:all 6.17-1
2026-06-04 05:54:12 remove manpages-dev:all 6.17-1 <none>
2026-06-04 05:54:12 status half-configured manpages-dev:all 6.17-1
2026-06-04 05:54:12 status half-installed manpages-dev:all 6.17-1
2026-06-04 05:54:12 status config-files manpages-dev:all 6.17-1
2026-06-04 05:54:12 status not-installed manpages-dev:all <none>
2026-06-04 05:54:12 status installed rpcsvc-proto:amd64 1.4.3-1build1
2026-06-04 05:54:12 remove rpcsvc-proto:amd64 1.4.3-1build1 <none>
2026-06-04 05:54:12 status half-configured rpcsvc-proto:amd64 1.4.3-1build1
2026-06-04 05:54:12 status half-installed rpcsvc-proto:amd64 1.4.3-1build1
2026-06-04 05:54:12 status config-files rpcsvc-proto:amd64 1.4.3-1build1
2026-06-04 05:54:12 status not-installed rpcsvc-proto:amd64 <none>
2026-06-04 05:54:12 status installed wireless-regdb:all 2026.02.04-0ubuntu1
2026-06-04 05:54:12 remove wireless-regdb:all 2026.02.04-0ubuntu1 <none>
2026-06-04 05:54:12 status half-configured wireless-regdb:all 2026.02.04-0ubuntu1
2026-06-04 05:54:12 status half-installed wireless-regdb:all 2026.02.04-0ubuntu1
2026-06-04 05:54:12 status config-files wireless-regdb:all 2026.02.04-0ubuntu1
2026-06-04 05:54:12 status not-installed wireless-regdb:all <none>
2026-06-04 05:54:12 startup packages configure
2026-06-04 05:54:12 trigproc man-db:amd64 2.13.1-1build1 <none>
2026-06-04 05:54:12 status half-configured man-db:amd64 2.13.1-1build1
2026-06-04 05:54:13 status installed man-db:amd64 2.13.1-1build1
2026-06-04 05:54:13 startup packages configure
2026-06-04 05:54:16 startup archives unpack
2026-06-04 05:54:16 install ec2-instance-connect:all <none> 1.1.17-0ubuntu2
2026-06-04 05:54:16 status half-installed ec2-instance-connect:all 1.1.17-0ubuntu2
2026-06-04 05:54:16 status unpacked ec2-instance-connect:all 1.1.17-0ubuntu2
2026-06-04 05:54:16 startup packages configure
2026-06-04 05:54:16 configure ec2-instance-connect:all 1.1.17-0ubuntu2 <none>
2026-06-04 05:54:16 status unpacked ec2-instance-connect:all 1.1.17-0ubuntu2
2026-06-04 05:54:16 status half-configured ec2-instance-connect:all 1.1.17-0ubuntu2
2026-06-04 05:54:16 status installed ec2-instance-connect:all 1.1.17-0ubuntu2
